cond_numeric	Condition	participant_a	participant_b	z_transformed_rank_r	pp_a_n_clusters	pp_b_n_clusters	cat_diff_log_ratio_a	cat_diff_log_ratio_b	mean_alignment_within	mean_alignment_between
-1	Baseline	CEL_baseline_118	CEL_baseline_166	0.009559092	5	4	-0.066796051	0.146715943	-0.035302966	0.097699409
-1	Baseline	CEL_baseline_118	CEL_baseline_167	0.024726538	5	6	-0.066796051	0.073317675	0.000353953	0.067676091
-1	Baseline	CEL_baseline_118	CEL_baseline_168	-0.030487908	5	2	-0.066796051	0.06222896	-0.023109846	-0.024331233
-1	Baseline	CEL_baseline_118	CEL_baseline_169	-0.061449683	5	2	-0.066796051	0.015236417	-0.095502698	-0.022674152
-1	Baseline	CEL_baseline_118	CEL_baseline_170	-0.013500544	5	3	-0.066796051	0.01280229	0.117214957	-0.130260735
-1	Baseline	CEL_baseline_118	CEL_baseline_171	-0.031997514	5	4	-0.066796051	0.410811993	-0.052375287	0.041704329
-1	Baseline	CEL_baseline_118	CEL_baseline_172	-0.021368182	5	4	-0.066796051	0.32347555	0.160503188	-0.111166753
-1	Baseline	CEL_baseline_118	CEL_baseline_173	-0.007704404	5	3	-0.066796051	0.07388028	-0.114478637	0.057344503
-1	Baseline	CEL_baseline_118	CEL_baseline_176	-0.019630133	5	7	-0.066796051	0.384077036	-0.078177059	0.080159247
-1	Baseline	CEL_baseline_118	CEL_baseline_177	-0.031451097	5	2	-0.066796051	0.997333253	0.041023945	0.087942787
-1	Baseline	CEL_baseline_118	CEL_baseline_179	0.050655853	5	3	-0.066796051	0.266157758	-0.018218256	0.15141362
-1	Baseline	CEL_baseline_118	CEL_baseline_181	0.074125853	5	2	-0.066796051	0.238608073	0.154124898	0.01495461
-1	Baseline	CEL_baseline_118	CEL_baseline_182	-0.016800334	5	2	-0.066796051	3.445669382	0.198634448	0.015129212
-1	Baseline	CEL_baseline_118	CEL_baseline_183	-0.040990537	5	4	-0.066796051	1.160857409	-0.162819167	0.158313907
-1	Baseline	CEL_baseline_118	CEL_baseline_184	-0.07912318	5	6	-0.066796051	0.680291098	-0.103810071	0.014366425
-1	Baseline	CEL_baseline_118	CEL_baseline_185	0.116325334	5	5	-0.066796051	0.239683688	0.181554814	0.113536654
-1	Baseline	CEL_baseline_118	CEL_baseline_186	-0.022873563	5	4	-0.066796051	0.49694547	-0.017180837	0.018952164
-1	Baseline	CEL_baseline_118	CEL_baseline_187	-0.060775334	5	4	-0.066796051	0.196388029	-0.146245112	0.04628565
-1	Baseline	CEL_baseline_118	CEL_baseline_188	-0.081524929	5	5	-0.066796051	0.22198018	-0.043770317	-0.088680585
-1	Baseline	CEL_baseline_118	CEL_baseline_189	-0.041004145	5	3	-0.066796051	0.17580039	-0.046846604	0.012043823
-1	Baseline	CEL_baseline_118	CEL_baseline_191	0.015335356	5	5	-0.066796051	0.421234675	-0.001531061	0.103882429
-1	Baseline	CEL_baseline_118	CEL_baseline_193	-0.044537729	5	8	-0.066796051	0.69979533	0.058303617	-0.058873808
-1	Baseline	CEL_baseline_118	CEL_baseline_195	-0.097923234	5	7	-0.066796051	0.118083885	-0.149880264	-0.034108631
-1	Baseline	CEL_baseline_118	CEL_baseline_196	-0.101867345	5	5	-0.066796051	0.152536494	-0.147388897	-0.063535701
