"","RT","label_cond","label","second_stim","first_stim","first_stim_cat","block","third_stim","isRight","subjCode"
"313",875.355,-0.5,"noise","square_7","circle_7","C",1,"circle_7",1,68
"314",115.895,-0.5,"noise","circle_4","square_2","S",1,"square_2",0,68
"315",672.025,-0.5,"noise","square_2","circle_2","C",1,"circle_2",1,68
"316",1054.25,-0.5,"noise","square_3","square_3","S",1,"circle_2",1,68
"317",695,-0.5,"noise","circle_2","square_6","S",1,"square_6",1,68
"318",587.09,-0.5,"noise","square_4","square_4","S",1,"circle_6",1,68
"319",1220.615,-0.5,"noise","square_2","circle_3","C",1,"circle_3",1,68
"320",537.95,-0.5,"noise","circle_4","circle_4","C",1,"square_4",1,68
"321",666.855,-0.5,"noise","circle_3","square_5","S",1,"square_5",1,68
"322",583.71,-0.5,"noise","square_7","circle_4","C",1,"circle_4",1,68
"323",926.235,-0.5,"noise","square_2","circle_7","C",1,"circle_7",1,68
"324",923.525,-0.5,"noise","square_5","circle_6","C",1,"circle_6",1,68
"325",653.71,-0.5,"noise","circle_6","circle_6","C",1,"square_2",1,68
"326",598.44,-0.5,"noise","square_4","square_4","S",1,"circle_7",1,68
"327",641.29,-0.5,"noise","circle_4","square_3","S",1,"square_3",1,68
"328",967.9,-0.5,"noise","circle_6","circle_6","C",1,"square_7",1,68
"329",500.425,-0.5,"noise","square_3","square_3","S",1,"circle_7",1,68
"330",662.26,-0.5,"noise","square_7","square_7","S",1,"circle_2",1,68
"331",707.465,-0.5,"noise","square_3","circle_5","C",1,"circle_5",1,68
"332",598.83,-0.5,"noise","circle_2","circle_2","C",2,"square_7",1,68
"333",669.365,-0.5,"noise","circle_5","square_3","S",2,"square_3",1,68
"334",868.92,-0.5,"noise","square_5","square_5","S",2,"circle_2",1,68
"335",714.38,-0.5,"noise","circle_7","square_6","S",2,"square_6",1,68
"336",442.58,-0.5,"noise","square_3","square_3","S",2,"circle_6",1,68
"337",943.04,-0.5,"noise","circle_7","circle_7","C",2,"square_3",1,68
"338",481.99,-0.5,"noise","square_7","square_7","S",2,"circle_5",1,68
"339",826.405,-0.5,"noise","square_5","circle_3","C",2,"circle_3",1,68
"340",619.42,-0.5,"noise","circle_5","square_5","S",2,"square_5",1,68
"341",843.325,-0.5,"noise","circle_5","circle_5","C",2,"square_4",1,68
"342",577.48,-0.5,"noise","square_7","square_7","S",2,"circle_7",1,68
"343",686.6,-0.5,"noise","square_6","circle_2","C",2,"circle_2",1,68
"344",559.2,-0.5,"noise","square_3","circle_3","C",2,"circle_3",1,68
"345",712.69,-0.5,"noise","circle_4","square_5","S",2,"square_5",1,68
"346",478.61,-0.5,"noise","square_7","square_7","S",2,"circle_6",1,68
"347",993.225,-0.5,"noise","circle_4","circle_4","C",2,"square_3",0,68
"348",627.925,-0.5,"noise","circle_5","square_2","S",2,"square_2",1,68
